year,microrregion_code,microrregion_name,uf,macroregion,homicide_count,population,homicide_rate_per_100k,percentile_unweighted,bubble_area_points2
2024,28009,Japaratuba,SE,Nordeste,15,54248.0,27.65078896917859,74.73118279569893,7.233066666666667
2024,21019,Porto Franco,MA,Nordeste,31,112099.0,27.6541271554608,74.91039426523298,14.946533333333333
2024,51011,Médio Araguaia,MT,Centro-Oeste,23,83072.0,27.68682588597843,75.08960573476702,11.076266666666667
2024,41030,Palmas,PR,Sul,26,92018.0,28.25534134625834,75.26881720430107,12.269066666666667
2024,13013,Madeira,AM,Norte,57,201671.0,28.26385548740275,75.44802867383513,26.889466666666667
2024,24016,Litoral Nordeste,RN,Nordeste,26,91572.0,28.39295854628052,75.62724014336918,12.2096
2024,23029,Chapada do Araripe,CE,Nordeste,27,94663.0,28.522231494881844,75.80645161290323,12.621733333333333
2024,15007,Belém,PA,Norte,644,2253177.0,28.58186462936556,75.98566308243727,300.4236
2024,26004,Sertão do Moxotó,PE,Nordeste,72,250677.0,28.722220227623595,76.16487455197132,33.4236
2024,12002,Tarauacá,AC,Norte,27,93948.0,28.739302592923746,76.34408602150538,12.5264
2024,51016,Rosário Oeste,MT,Centro-Oeste,8,27673.0,28.90904491742854,76.52329749103943,3.6897333333333333
2024,29015,Ribeira do Pombal,BA,Nordeste,91,314574.0,28.928010579386726,76.70250896057348,41.9432
2024,28004,Agreste de Itabaiana,SE,Nordeste,54,186204.0,29.000451118128503,76.88172043010752,24.8272
2024,32002,Nova Venécia,ES,Sudeste,39,134058.0,29.091885601754466,77.06093189964157,17.8744
2024,27005,Palmeira dos Índios,AL,Nordeste,51,175299.0,29.09314941899269,77.24014336917563,23.3732
2024,22003,Teresina,PI,Nordeste,328,1120184.0,29.28090385151011,77.41935483870968,149.35786666666667
2024,23015,Cascavel,CE,Nordeste,46,156638.0,29.367075677677192,77.59856630824373,20.885066666666667
2024,24009,Angicos,RN,Nordeste,15,50955.0,29.43773918163085,77.77777777777777,6.794
2024,11008,Colorado do Oeste,RO,Norte,15,49565.0,30.26329062846767,77.95698924731182,6.608666666666666
2024,29001,Barreiras,BA,Nordeste,118,389526.0,30.29322817989043,78.13620071684588,51.9368
2024,33010,Lagos,RJ,Sudeste,208,686509.0,30.298218959984503,78.31541218637993,91.53453333333333
2024,23032,Cariri,CE,Nordeste,194,640020.0,30.311552763976124,78.49462365591398,85.336
2024,21010,Médio Mearim,MA,Nordeste,125,412113.0,30.331486752419845,78.67383512544802,54.9484
2024,23025,Serra do Pereiro,CE,Nordeste,13,42802.0,30.372412504088594,78.85304659498208,5.706933333333334
2024,15013,Guamá,PA,Norte,134,440683.0,30.407344962251777,79.03225806451613,58.757733333333334
2024,51002,Alta Floresta,MT,Centro-Oeste,35,114907.0,30.4594150051781,79.21146953405018,15.320933333333333
2024,16002,Amapá,AP,Norte,8,26261.0,30.46342485053882,79.39068100358423,3.5014666666666665
2024,24019,Litoral Sul,RN,Nordeste,44,144002.0,30.555131178733628,79.56989247311827,19.200266666666668
2024,29013,Jeremoabo,BA,Nordeste,31,101162.0,30.643917676597933,79.74910394265233,13.488266666666666
2024,27002,Alagoana do Sertão do São Francisco,AL,Nordeste,26,84384.0,30.81152825180129,79.92831541218638,11.2512
2024,41007,Porecatu,PR,Sul,25,80664.0,30.992760091242687,80.10752688172043,10.7552
