microrregion_code,microrregion_name,uf,macroregion,start_year,end_year,rate_2016_per_100k,rate_2024_per_100k,delta_rate_2016_2024_per_100k,population_2016,population_2024,bubble_area_points2,population_weighted_fitted_delta,rate_average_2015_2017_per_100k,delta_average_2015_2017_to_2022_2024_per_100k
26005,Petrolina,PE,Northeast,2016,2024,36.369740376007165,37.46414768192764,1.0944073059204769,500416.0,573882.0,66.72213333333333,-13.123573186705107,37.17519175536859,-0.7907083013321241
26006,Itaparica,PE,Northeast,2016,2024,28.822992512884564,22.413829332698274,-6.40916318018629,145717.0,142769.0,19.428933333333333,-9.372205871512755,32.25747412538777,-12.720616771845705
26007,Vale do Ipanema,PE,Northeast,2016,2024,38.230644444674056,21.494411453022213,-16.736232991651843,193562.0,200052.0,25.80826666666667,-14.048598750897858,35.47821534243367,-12.257679575181406
26008,Vale do Ipojuca,PE,Northeast,2016,2024,57.30367263462572,32.68587553990062,-24.6177970947251,923152.0,985135.0,123.08693333333333,-23.52949513848725,58.82607847810543,-23.478267125694003
26009,Alto Capibaribe,PE,Northeast,2016,2024,51.304886548439555,32.19082465880913,-19.114061889630428,309912.0,313754.0,41.3216,-20.547594793768674,55.186272495398455,-21.642418807589358
26010,Médio Capibaribe,PE,Northeast,2016,2024,33.5636494103214,22.208914499645054,-11.354734910676349,259209.0,252151.0,34.5612,-11.72871037651782,36.65019765387296,-11.746799282285984
26011,Garanhuns,PE,Northeast,2016,2024,38.897293951793145,35.11768580684441,-3.7796081449487318,465328.0,481239.0,62.043733333333336,-14.379979528029173,40.40369306947716,-2.8681095133205616
26012,Brejo Pernambucano,PE,Northeast,2016,2024,59.46233530497919,35.070232755597395,-24.392102549381796,223671.0,216708.0,29.8228,-24.60253172761999,64.9775484686312,-27.503838618198145
26013,Mata Setentrional Pernambucana,PE,Northeast,2016,2024,55.62091061915137,46.098576772675735,-9.522333846475632,562738.0,566178.0,75.03173333333334,-22.69302113159155,56.690014027372335,-7.613624461878814
26014,Vitória de Santo Antão,PE,Northeast,2016,2024,44.175020556692736,40.729568393854926,-3.4454521628378103,228636.0,235701.0,30.4848,-17.003452770177397,49.7181665223236,-4.0872209187565645
26015,Mata Meridional Pernambucana,PE,Northeast,2016,2024,62.714112519849685,39.75016431379803,-22.963948206051654,596357.0,508174.0,79.51426666666667,-26.21893802360362,59.47666127985502,-9.672001414720448
26016,Itamaracá,PE,Northeast,2016,2024,54.470637090728665,35.99675522206449,-18.473881868664172,185421.0,197240.0,24.7228,-22.121238610654054,57.35563550583535,-23.151396263676283
26017,Recife,PE,Northeast,2016,2024,44.28470090772074,41.60751159711118,-2.677189310609563,3459434.0,3434476.0,461.25786666666664,-17.057973113433576,45.75230599620202,-5.196879497292336
26018,Suape,PE,Northeast,2016,2024,71.04170824861892,49.28597333597845,-21.75573491264047,295601.0,322607.0,39.413466666666665,-30.358452288243996,82.668489207984,-27.519969551056853
26019,Fernando de Noronha,PE,Northeast,2016,2024,33.62474781439139,0.0,-33.62474781439139,2974.0,3316.0,0.39653333333333335,-11.759081413180985,11.210762331838565,-11.210762331838565
27001,Serrana do Sertão Alagoano,AL,Northeast,2016,2024,30.01007481082935,22.71097298589529,-7.299101824934063,93302.0,83660.0,12.440266666666666,-9.962285441378087,27.15265149214538,1.7959707343655253
27002,Alagoana do Sertão do São Francisco,AL,Northeast,2016,2024,38.010988631258854,30.81152825180129,-7.199460379457566,86817.0,84384.0,11.5756,-13.939411369262343,38.016097321209145,-13.215105281527556
27003,Santana do Ipanema,AL,Northeast,2016,2024,44.36360409919702,20.725627238079884,-23.637976861117135,180328.0,173698.0,24.043733333333332,-17.09719462433297,38.82044987355625,-14.932896162974355
27004,Batalha,AL,Northeast,2016,2024,40.07933653282909,37.52220983744054,-2.557126695388547,97307.0,90613.0,12.974266666666667,-14.967553935454662,35.97073010304758,-3.6508299603942262
27005,Palmeira dos Índios,AL,Northeast,2016,2024,47.81533388293487,29.09314941899269,-18.72218446394218,181950.0,175299.0,24.26,-18.812994135121507,45.98341299516899,-13.672489595136682
27006,Arapiraca,AL,Northeast,2016,2024,61.2299308169564,31.405485192313733,-29.824445624642664,442594.0,445782.0,59.01253333333333,-25.48117510492348,53.554642306209026,-22.031317514557312
27007,Traipu,AL,Northeast,2016,2024,27.382937940305194,25.66661913589049,-1.7163188044147049,40171.0,35065.0,5.356133333333333,-8.656377841525769,29.044679014804487,-4.110012635845511
27008,Serrana dos Quilombos,AL,Northeast,2016,2024,63.751032701677694,24.849835991082458,-38.90119671059524,153723.0,140846.0,20.4964,-26.734374414102476,61.15093873196373,-27.904429017524933
27009,Mata Alagoana,AL,Northeast,2016,2024,58.015857667762525,33.44530773358424,-24.57054993417829,320602.0,272086.0,42.74693333333333,-23.883510895225825,60.620176640747985,-24.83267514702225
27010,Litoral Norte Alagoano,AL,Northeast,2016,2024,41.426164765665995,70.71758332666187,29.291418560995872,72418.0,74946.0,9.655733333333334,-15.637040647278118,44.65395486728108,18.44321477396644
27011,Maceió,AL,Northeast,2016,2024,58.209501359956505,41.419039977657384,-16.79046138229912,1248937.0,1267533.0,166.52493333333334,-23.97976806862887,59.6607266649814,-16.85013501939205
